Date,BCI,BND,HODL,SGOL,SPLG,SPTI,VEA,VGIT,VTI,VWO
2024-05-01,,,,,,,,,,
2024-06-01,-0.017399732347001873,0.008777977606826637,-0.11304226706690745,-0.0004498528604481855,0.03192518715273218,0.010310718624761295,-0.025631040681554973,0.009989579776261692,0.027146371834720462,0.015784454936399905
2024-07-01,-0.03689123678170547,0.02353102944640395,0.08825692679187624,0.05355538122552561,0.014774794887806753,0.023259174466289778,0.03975946333634539,0.023604592084849774,0.022528847364443383,0.016013183633291295
2024-08-01,-0.002042892277818842,0.014537473507507226,-0.10181430016678072,0.021358393987997992,0.024103905763941835,0.012240250399816688,0.029070880132610277,0.011826914496402274,0.02131553352941884,0.009708683696154408
2024-09-01,0.046059372015272215,0.01317287232972797,0.08275558933108362,0.05102464747554314,0.01855757133170388,0.010811396313733068,0.008016785218501354,0.011156092637032655,0.017170772036560367,0.06999103178344712
2024-10-01,-0.013209433749650779,-0.02446129794974794,0.10204652156761695,0.04297652048441658,-0.006129800572909017,-0.0237946075882699,-0.04871022544558157,-0.0237992052665299,-0.0044604584488863175,-0.023872300280448955
2024-11-01,0.0004957837362207229,0.01050231024480719,0.386811441392644,-0.030904215728196793,0.05995815457543663,0.007258819743010347,0.003992007444728607,0.0069112412052718675,0.06700352440110424,-0.021473039202925204
2024-12-01,-0.021308234149989058,-0.01990287439685967,-0.03707414592895564,-0.013779542784496224,-0.027507348026135414,-0.015175743422102594,-0.04930416289709627,-0.014330843218997358,-0.03351566648801185,-0.033574690549737274
2025-01-01,0.07367551958425067,0.012313658821998974,0.08617917594599334,0.06746509323470651,0.030450175999087392,0.012810799944412032,0.05998024537672597,0.012117320177099655,0.03364684373065607,0.03251444271846071
2025-02-01,0.007801065120750295,0.018247257501148306,-0.1708761783550714,0.019446539349836645,-0.012853139991537144,0.016037059460727754,0.022627125108336088,0.01577225599874099,-0.018888239446651967,0.007432467705704271
2025-03-01,0.038219593868543233,0.0003989413734513114,-0.020588226337215687,0.09391047118297813,-0.059092885892133684,0.005860717499484913,-0.004699357507839674,0.005825235628570846,-0.06185144555524402,0.01184877677860352
2025-04-01,-0.05172407969980142,0.003664749407856105,0.14242813259927267,0.054661337518328246,-0.0052898610356636455,0.012430131958072854,0.0449430476362378,0.012552504135117992,-0.0038598654885905193,0.0007963668997890139
2025-05-01,0.020638824001024902,-0.015674272351373864,0.1535861915690031,0.006677236228245675,0.05168716110918292,-0.0148405109345775,0.038396115661161634,-0.015200597386281323,0.051132546422355984,0.05436462065132952
