Date,BCI,BND,HODL,SGOL,SPLG,SPTI,VEA,VGIT,VTI,VWO
2024-04-15,19.88605308532715,67.93412017822266,17.920000076293945,22.809999465942383,58.534603118896484,26.464372634887695,46.85978317260742,55.0322380065918,246.57769775390625,40.05115509033203
2024-04-16,19.828022003173828,67.76123046875,17.752500534057617,22.850000381469727,58.43593215942383,26.397178649902344,46.3656005859375,54.88819885253906,245.83761596679688,39.55706024169922
2024-04-17,19.682937622070312,68.0877914428711,17.2549991607666,22.68000030517578,58.100433349609375,26.502769470214844,46.394676208496094,55.10905075073242,244.39697265625,39.624874114990234
2024-04-18,19.682937622070312,67.9052963256836,17.979999542236328,22.75,57.98202133178711,26.425975799560547,46.34622573852539,54.96501922607422,243.89373779296875,39.731441497802734
2024-04-19,19.847366333007812,67.99174499511719,18.1924991607666,22.829999923706055,57.468902587890625,26.464372634887695,46.37529754638672,55.0034294128418,241.9794464111328,39.61518478393555
2024-04-22,19.828022003173828,68.02056121826172,18.844999313354492,22.270000457763672,58.00175476074219,26.47397232055664,46.8791618347168,55.02263259887695,244.35751342773438,39.95427703857422
2024-04-23,19.857038497924805,68.1454086303711,18.81999969482422,22.200000762939453,58.69248580932617,26.502769470214844,47.35396194458008,55.10905075073242,247.26840209960938,40.28367614746094
2024-04-24,19.818347930908203,67.97252655029297,18.077499389648438,22.170000076293945,58.67274856567383,26.454774856567383,47.21830368041992,55.02263259887695,247.32760620117188,40.40961837768555
2024-04-25,19.915071487426758,67.78043365478516,18.315000534057617,22.290000915527344,58.44579315185547,26.397178649902344,47.01482391357422,54.86899185180664,246.15341186523438,40.53556442260742
2024-04-26,19.866710662841797,67.93412017822266,18.032499313354492,22.3700008392334,58.998382568359375,26.43558120727539,47.3636589050293,54.9458122253418,248.44264221191406,41.00060272216797
2024-04-29,19.934415817260742,68.13582611083984,17.802499771118164,22.31999969482422,59.205604553222656,26.4931697845459,47.62527847290039,55.0898551940918,249.4195098876953,41.407508850097656
