Datetime,Open,High,Low,Close,Adj Close,Volume,EMA_12,EMA_26,MACD,Signal_Line,Histogram,Position,Buy_Signal,Sell_Signal,Stop_Loss_Signal,Strategy_Returns,Cumulative_Strategy_Returns,Portfolio_Value,Buy_and_Hold_Returns,Buy_and_Hold_Value
2024-07-23 09:30:00,114.54000091552734,115.37999725341797,114.54000091552734,115.3499984741211,115.3499984741211,674323,115.3499984741211,115.3499984741211,0.0,0.0,0.0,0,0,0,0,,,,1.0,10000.0
2024-07-23 10:00:00,115.30000305175781,116.41000366210938,115.30000305175781,116.27210235595703,116.27210235595703,202167,115.49186060978816,115.4183024653682,0.07355814441996245,0.01471162888399249,0.05884651553596996,1,1,0,0,0.0,1.0,10000.0,1.0079939652712073,10079.939652712073
2024-07-23 10:30:00,116.27999877929688,116.52999877929688,115.58999633789062,115.86979675292969,115.86979675292969,206067,115.55000463180993,115.45174648666905,0.09825814514087483,0.03142093213536896,0.06683721300550588,1,0,0,0,-0.0034600355104590363,0.996539964489541,9965.39964489541,1.0045062703570404,10045.062703570404
2024-07-23 11:00:00,115.86499786376953,116.22000122070312,115.8499984741211,116.13999938964844,116.13999938964844,173976,115.64077305609277,115.50272818318605,0.1380448729067183,0.05274572028963883,0.08529915261707946,1,0,0,0,0.0023319505539041163,0.99886384641172,9988.6384641172,1.0068487293105997,10068.487293105996
2024-07-23 11:30:00,116.16999816894531,116.47000122070312,116.1500015258789,116.29989624023438,116.29989624023438,269646,115.74217662288379,115.56177766889333,0.18039895399046202,0.07827636702980348,0.10212258696065854,1,0,0,0,0.00137675952665961,1.0002390417281033,10002.390417281033,1.0082349178905832,10082.349178905832
2024-07-23 12:00:00,116.30999755859375,116.43990325927734,115.91999816894531,116.08999633789062,116.08999633789062,211353,115.79568734826945,115.60090497770794,0.19478237056151215,0.10157756773614522,0.09320480282536693,1,0,0,0,-0.0018048159037921119,0.9984337943979986,9984.337943979986,1.0064152394760157,10064.152394760158
2024-07-23 12:30:00,116.05999755859375,116.13999938964844,115.9000015258789,116.10800170898438,116.10800170898438,804595,115.84373571145636,115.63846769854322,0.20526801291313745,0.12231565677154368,0.08295235614159377,1,0,0,0,0.00015509838626703853,0.9985886498683042,9985.886498683041,1.006571332855573,10065.71332855573
2024-07-23 13:00:00,116.09500122070312,116.2699966430664,116.05999755859375,116.20999908447266,116.20999908447266,172889,115.90008392268963,115.68080335676022,0.21928056592940948,0.14170863860311683,0.07757192732629264,1,0,0,0,0.0008784698210888564,0.9994658798608954,9994.658798608954,1.0074555753942598,10074.555753942597
2024-07-23 13:30:00,116.1624984741211,116.51000213623047,116.08999633789062,116.45999908447266,116.45999908447266,260750,115.98622471681009,115.73852155881299,0.24770315799709408,0.1629075424819123,0.08479561551518178,1,0,0,0,0.002151277875996449,1.0016160086960535,10016.160086960535,1.0096228922846548,10096.228922846549
2024-07-23 14:00:00,116.44999694824219,116.73999786376953,116.44000244140625,116.69000244140625,116.69000244140625,308345,116.09449821290181,115.80900162419027,0.2854965887115384,0.18742535172783753,0.09807123698370085,1,0,0,0,0.0019749558538701972,1.003594156095758,10035.941560957579,1.0116168529259737,10116.168529259738
2024-07-23 14:30:00,116.69000244140625,116.91999816894531,116.63999938964844,116.87000274658203,116.87000274658203,416928,116.21380660269877,115.887594299923,0.3262123027757724,0.2151827419374245,0.11102956083834789,1,0,0,0,0.0015425512161264532,1.005142251481741,10051.42251481741,1.0131773237327086,10131.773237327086
2024-07-23 15:00:00,116.86000061035156,116.875,116.5999984741211,116.72000122070312,116.72000122070312,383411,116.29168269777635,115.94925407183264,0.34242862594371104,0.24063191873868184,0.1017967072050292,1,0,0,0,-0.0012834903940591724,1.0038521610573012,10038.521610573012,1.0118769203702191,10118.769203702192
