Datetime,Close_IJR,Close_SCHD,MACD_IJR,Signal_Line_IJR,MACD_SCHD,Signal_Line_SCHD,Position_IJR,Position_SCHD,Buy_IJR,Sell_IJR,Buy_SCHD,Sell_SCHD,Strategy_Returns_IJR,Strategy_Returns_SCHD,Cumulative_Strategy_Returns_IJR,Cumulative_Strategy_Returns_SCHD,Portfolio_Value_IJR,Portfolio_Value_SCHD,Total_Portfolio_Value,Buy_and_Hold_Returns_IJR,Buy_and_Hold_Returns_SCHD,Buy_and_Hold_Value_IJR,Buy_and_Hold_Value_SCHD,Total_Buy_and_Hold_Value
2024-07-01 09:30:00,106.88500213623047,78.25990295410156,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,,1.0,1.0,10000.0,10000.0,20000.0
2024-07-01 10:00:00,105.95999908447266,77.70999908447266,-0.07378941723425214,-0.01475788344685043,-0.043866975355015825,-0.008773395071003165,0,0,0,0,0,0,-0.0,-0.0,1.0,1.0,10000.0,10000.0,20000.0,0.9913458106070031,0.9929733637677596,9913.458106070031,9929.733637677597,19843.19174374763
2024-07-01 10:30:00,105.87999725341797,77.55999755859375,-0.1371426461231806,-0.03923483598211647,-0.08970171337728061,-0.024959058732258656,0,0,0,0,0,0,-0.0,-0.0,1.0,1.0,10000.0,10000.0,20000.0,0.9905973255112858,0.9910566539301959,9905.973255112858,9910.566539301959,19816.539794414817
2024-07-01 11:00:00,105.58000183105469,77.49500274658203,-0.20914674636856034,-0.07321721805940525,-0.12977465024037826,-0.045922177033882586,0,0,0,0,0,0,-0.0,-0.0,1.0,1.0,10000.0,10000.0,20000.0,0.9877906134715468,0.9902261544079842,9877.90613471547,9902.261544079842,19780.16767879531
2024-07-01 11:30:00,105.70999908447266,77.54000091552734,-0.252806625246933,-0.1091350994969108,-0.1561023149295977,-0.06795820461302561,0,0,0,0,0,0,0.0,0.0,1.0,1.0,10000.0,10000.0,20000.0,0.989006848217487,0.9908011381128797,9890.06848217487,9908.011381128797,19798.07986330367
2024-07-01 12:00:00,105.84500122070312,77.51629638671875,-0.27336269469452645,-0.14198061853643396,-0.17684141845226975,-0.08973484738087445,0,0,0,0,0,0,0.0,-0.0,1.0,1.0,10000.0,10000.0,20000.0,0.9902699078940765,0.9904982431703381,9902.699078940765,9904.98243170338,19807.681510644143
2024-07-01 12:30:00,105.72000122070312,77.45259857177734,-0.2963241428977028,-0.17284932340868775,-0.19615602418812728,-0.11101908274232503,0,0,0,0,0,0,-0.0,-0.0,1.0,1.0,10000.0,10000.0,20000.0,0.9891004266993185,0.989684316593164,9891.004266993185,9896.843165931641,19787.847432924827
2024-07-01 13:00:00,105.91999816894531,77.52999877929688,-0.29498279569968133,-0.19727601786688648,-0.202878778233881,-0.12939102184063622,0,0,0,0,0,0,0.0,0.0,1.0,1.0,10000.0,10000.0,20000.0,0.9909715680591444,0.9906733314602656,9909.715680591444,9906.733314602656,19816.4489951941
2024-07-01 13:30:00,105.87999725341797,77.50499725341797,-0.2937612115757986,-0.2165730566086689,-0.20782830807506514,-0.14507847908752203,0,0,0,0,0,0,-0.0,-0.0,1.0,1.0,10000.0,10000.0,20000.0,0.9905973255112858,0.9903538635726863,9905.973255112858,9903.538635726864,19809.51189083972
2024-07-01 14:00:00,105.80500030517578,77.46299743652344,-0.2954390864202594,-0.232346262570987,-0.21268814382173673,-0.15860041203436498,0,0,0,0,0,0,-0.0,-0.0,1.0,1.0,10000.0,10000.0,20000.0,0.9898956653462179,0.9898171926172015,9898.956653462179,9898.171926172015,19797.128579634194
2024-07-01 14:30:00,105.83999633789062,77.40499877929688,-0.29059512721948977,-0.24399603550068757,-0.21869858444107138,-0.17062004651570628,0,0,0,0,0,0,0.0,-0.0,1.0,1.0,10000.0,10000.0,20000.0,0.9902230829634271,0.9890760895102811,9902.23082963427,9890.76089510281,19792.991724737083
