,price,momentum_score,amount_to_invest,num_shares,investment_pct,support,support_date,timestamp
HODL,31.44,0.0820533375063285,4000.0,127,0.04,30.950000762939453,2025-08-26 00:00:00-04:00,2026-03-18 07:56:46
VEA,58.84,0.0779464757553229,24000.0,407,0.24,57.91999816894531,2025-08-12 00:00:00-04:00,2026-03-18 07:56:46
VWO,51.84,0.0776672105934721,24000.0,462,0.24,50.810001373291016,2025-08-12 00:00:00-04:00,2026-03-18 07:56:46
VTI,318.09,0.0649464227166169,24000.0,75,0.24,311.239990234375,2025-08-20 00:00:00-04:00,2026-03-18 07:56:46
SGOL,33.8702,0.077095120106627,25000.0,738,0.25,31.739999771118164,2025-08-22 00:00:00-04:00,2026-03-18 07:56:46
VEA,58.54,0.0564686059329503,25000.0,427,0.25,57.810001373291016,2025-09-02 00:00:00-04:00,2026-03-18 07:56:46
VWO,51.23,0.053109364138616,25000.0,487,0.25,51.0099983215332,2025-09-02 00:00:00-04:00,2026-03-18 07:56:46
SGOL,35.865,0.1192270001471814,25000.0,697,0.25,34.4900016784668,2025-09-11 00:00:00-04:00,2026-03-18 07:56:46
VWO,53.395,0.0878763513279032,25000.0,468,0.25,52.92552166664762,2025-09-11 00:00:00-04:00,2026-03-18 07:56:46
VTI,327.08,0.0711438949531259,25000.0,76,0.25,322.510009765625,2025-09-11 00:00:00-04:00,2026-03-18 07:56:46
SGOL,35.8845,0.119611293977323,30000.0,836,0.25,34.4900016784668,2025-09-11 00:00:00-04:00,2026-03-18 07:56:46
VWO,53.4,0.0883603956220152,30000.0,561,0.25,52.92552166664762,2025-09-11 00:00:00-04:00,2026-03-18 07:56:46
VTI,327.268,0.0715660632186921,30000.0,91,0.25,322.510009765625,2025-09-11 00:00:00-04:00,2026-03-18 07:56:46
SGOL,35.93,0.1205063144023105,30000.0,834,0.25,34.4900016784668,2025-09-11 00:00:00-04:00,2026-03-18 07:56:46
VWO,53.34,0.087546501279657,30000.0,562,0.25,52.92552166664762,2025-09-11 00:00:00-04:00,2026-03-18 07:56:46
VEA,59.31,0.0699775639079448,30000.0,505,0.25,58.81999969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
SGOL,35.9301,0.1204845974679388,30000.0,834,0.25,34.4900016784668,2025-09-11 00:00:00-04:00,2026-03-18 07:56:46
VWO,53.335,0.087488628552074,30000.0,562,0.25,52.92552166664762,2025-09-11 00:00:00-04:00,2026-03-18 07:56:46
VEA,59.28,0.0697861589186372,30000.0,506,0.25,58.81999969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
SGOL,35.955,0.1209971167789655,30000.0,834,0.25,34.4900016784668,2025-09-11 00:00:00-04:00,2026-03-18 07:56:46
VWO,53.335,0.0874609544836141,30000.0,562,0.25,52.92552166664762,2025-09-11 00:00:00-04:00,2026-03-18 07:56:46
VEA,59.2701,0.0710998002426805,30000.0,506,0.25,58.81999969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
SGOL,36.5899,0.133616046406603,28800.0,787,0.24,34.59000015258789,2025-09-18 00:00:00-04:00,2026-03-18 07:56:46
VWO,54.105,0.097977070000095,28800.0,532,0.24,53.2400016784668,2025-09-26 00:00:00-04:00,2026-03-18 07:56:46
VEA,59.715,0.0752977067972816,28800.0,482,0.24,58.81999969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
HODL,31.9953,0.0732308464652004,4800.0,150,0.04,30.69499969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
HODL,34.485,0.1130216703998278,4800.0,139,0.04,30.69499969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
SGOL,36.9802,0.1098220568698941,28800.0,778,0.24,34.59000015258789,2025-09-18 00:00:00-04:00,2026-03-18 07:56:46
VWO,54.68,0.0837611624412223,28800.0,526,0.24,53.2400016784668,2025-09-26 00:00:00-04:00,2026-03-18 07:56:46
VEA,60.89,0.0721598856792957,28800.0,472,0.24,58.81999969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
HODL,34.76,0.1173917901834522,4800.0,138,0.04,30.69499969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
SGOL,37.04,0.1098999526536747,28800.0,777,0.24,35.41999816894531,2025-09-22 00:00:00-04:00,2026-03-18 07:56:46
VWO,54.79,0.0852204186448661,28800.0,525,0.24,53.2400016784668,2025-09-26 00:00:00-04:00,2026-03-18 07:56:46
VEA,61.06,0.0731508900957232,28800.0,471,0.24,58.81999969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
HODL,34.76,0.1173917901834522,4800.0,138,0.04,30.69499969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
SGOL,37.04,0.1098999526536747,28800.0,777,0.24,35.41999816894531,2025-09-22 00:00:00-04:00,2026-03-18 07:56:46
VWO,54.79,0.0852204138098683,28800.0,525,0.24,53.2400016784668,2025-09-26 00:00:00-04:00,2026-03-18 07:56:46
VEA,61.06,0.0731508883603185,28800.0,471,0.24,58.81999969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
HODL,34.76,0.1173917901834522,4800.0,138,0.04,30.69499969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
SGOL,37.04,0.1098999526536747,28800.0,777,0.24,35.41999816894531,2025-09-22 00:00:00-04:00,2026-03-18 07:56:46
VWO,54.79,0.085220416710867,28800.0,525,0.24,53.2400016784668,2025-09-26 00:00:00-04:00,2026-03-18 07:56:46
VEA,61.06,0.0731508827202531,28800.0,471,0.24,58.81999969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
HODL,35.49,0.1319752587451316,4800.0,135,0.04,30.69499969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
SGOL,37.76,0.1235618298897859,28800.0,762,0.24,35.41999816894531,2025-09-22 00:00:00-04:00,2026-03-18 07:56:46
VWO,54.98,0.0877817545445559,28800.0,523,0.24,53.2400016784668,2025-09-26 00:00:00-04:00,2026-03-18 07:56:46
VEA,61.18,0.0746283105982752,28800.0,470,0.24,58.81999969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
SGOL,37.95,0.1270805839702756,28800.0,758,0.24,35.41999816894531,2025-09-22 00:00:00-04:00,2026-03-18 07:56:46
HODL,34.41,0.1101802455901236,4800.0,139,0.04,30.69499969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
VWO,54.68,0.0837294052725234,28800.0,526,0.24,53.2400016784668,2025-09-26 00:00:00-04:00,2026-03-18 07:56:46
VEA,60.65,0.0680589275809121,28800.0,474,0.24,58.81999969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
SGOL,37.87,0.1256033104951751,28800.0,760,0.24,35.47999954223633,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
HODL,34.24,0.1066242938596264,4800.0,140,0.04,30.69499969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
VWO,54.51,0.0814132889099686,28800.0,528,0.24,53.2400016784668,2025-09-26 00:00:00-04:00,2026-03-18 07:56:46
VTI,330.66,0.0642175724622754,28800.0,87,0.24,322.4835472227624,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
SGOL,37.87,0.1256033104951751,28800.0,760,0.24,35.47999954223633,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
HODL,34.24,0.1066242938596264,4800.0,140,0.04,30.69499969482422,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
VWO,54.51,0.0814132855080851,28800.0,528,0.24,53.2400016784668,2025-09-26 00:00:00-04:00,2026-03-18 07:56:46
VTI,330.66,0.064217561566583,28800.0,87,0.24,322.4835472227624,2025-09-25 00:00:00-04:00,2026-03-18 07:56:46
SGOL,38.24,0.132383911624059,28800.0,753,0.24,36.34999847412109,2025-09-30 00:00:00-04:00,2026-03-18 07:56:46
HODL,32.99,0.0793522191767959,4800.0,145,0.04,31.71999931335449,2025-09-29 00:00:00-04:00,2026-03-18 07:56:46
VWO,52.54,0.0534802366118843,28800.0,548,0.24,52.40999984741211,2025-10-10 00:00:00-04:00,2026-03-18 07:56:46
VEA,59.18,0.0492224071087711,28800.0,486,0.24,59.09999847412109,2025-10-10 00:00:00-04:00,2026-03-18 07:56:46
SGOL,38.24,0.132383911624059,28800.0,753,0.24,36.34999847412109,2025-09-30 00:00:00-04:00,2026-03-18 07:56:46
HODL,32.99,0.0793522191767959,4800.0,145,0.04,31.71999931335449,2025-09-29 00:00:00-04:00,2026-03-18 07:56:46
VWO,52.54,0.0534802366118843,28800.0,548,0.24,52.40999984741211,2025-10-10 00:00:00-04:00,2026-03-18 07:56:46
VEA,59.18,0.0492224115851065,28800.0,486,0.24,59.09999847412109,2025-10-10 00:00:00-04:00,2026-03-18 07:56:46
SGOL,39.99,0.1628504662948784,30000.0,750,0.25,36.34999847412109,2025-09-30 00:00:00-04:00,2026-03-18 07:56:46
VWO,54.2796,0.0782510933930047,30000.0,552,0.25,52.40999984741211,2025-10-10 00:00:00-04:00,2026-03-18 07:56:46
