Date,GRNY,ONDS
2024-07-01,,0.9900000095367432
2024-08-01,,0.871999979019165
2024-09-01,,0.7710000276565552
2024-10-01,,0.765999972820282
2024-11-01,20.729999542236328,0.984000027179718
2024-12-01,19.959999084472656,2.559999942779541
2025-01-01,20.829999923706055,1.75
2025-02-01,19.530000686645508,0.984000027179718
2025-03-01,18.174999237060547,1.0700000524520874
2025-04-01,19.030000686645508,0.7770000100135803
2025-05-01,20.809999465942383,1.2200000286102295
2025-06-01,22.68000030517578,1.9199999570846558
2025-07-01,23.010000228881836,2.4000000953674316
