,price,momentum_score,amount_to_invest,num_shares,investment_pct,support,support_date,timestamp
XLK,263.03,0.106986304113873,66000.0,250,0.33,255.83999633789065,2025-08-20 00:00:00-04:00,2026-03-18 07:58:47
XLY,233.7,0.0889285619943655,66000.0,282,0.33,224.4600067138672,2025-08-12 00:00:00-04:00,2026-03-18 07:58:47
XLC,111.0,0.0869495451032697,66000.0,594,0.33,108.62999725341795,2025-08-12 00:00:00-04:00,2026-03-18 07:58:47
XLC,113.515,0.0880943620674444,66000.0,581,0.33,108.81999969482422,2025-08-20 00:00:00-04:00,2026-03-18 07:58:47
XLK,261.42,0.078650620429972,66000.0,252,0.33,255.83999633789065,2025-08-20 00:00:00-04:00,2026-03-18 07:58:47
XLY,234.0,0.0751318777615075,66000.0,282,0.33,224.9499969482422,2025-08-21 00:00:00-04:00,2026-03-18 07:58:47
XLK,278.56,0.1366066848682285,66000.0,236,0.33,268.27521316285964,2025-09-17 00:00:00-04:00,2026-03-18 07:58:47
XLC,117.5,0.1220446629445321,66000.0,561,0.33,113.9525812734019,2025-09-11 00:00:00-04:00,2026-03-18 07:58:47
XLY,237.57,0.0906339191869364,66000.0,277,0.33,233.0988595190278,2025-09-11 00:00:00-04:00,2026-03-18 07:58:47
XLK,278.65,0.13673062167375,49500.0,177,0.33,268.27521316285964,2025-09-17 00:00:00-04:00,2026-03-18 07:58:47
XLC,117.52,0.1223807742388885,49500.0,421,0.33,113.9525812734019,2025-09-11 00:00:00-04:00,2026-03-18 07:58:47
XLY,237.56,0.0905956482343532,49500.0,208,0.33,233.0988595190278,2025-09-11 00:00:00-04:00,2026-03-18 07:58:47
XLK,281.17,0.1444677160770725,49500.0,176,0.33,268.27521316285964,2025-09-17 00:00:00-04:00,2026-03-18 07:58:47
XLC,118.1439,0.1268296338455992,49500.0,418,0.33,116.4800033569336,2025-09-25 00:00:00-04:00,2026-03-18 07:58:47
XLY,238.425,0.0938949407187947,49500.0,207,0.33,235.1499938964844,2025-09-25 00:00:00-04:00,2026-03-18 07:58:47
XLK,286.16,0.1307860754877658,49500.0,172,0.33,273.2688032380447,2025-09-18 00:00:00-04:00,2026-03-18 07:58:47
XLC,116.45,0.0884526270354137,49500.0,425,0.33,115.84500122070312,2025-10-02 00:00:00-04:00,2026-03-18 07:58:47
XLY,239.4,0.0766670497404569,49500.0,206,0.33,235.1499938964844,2025-09-25 00:00:00-04:00,2026-03-18 07:58:47
XLK,284.72,0.1263899391245535,49500.0,173,0.33,274.25,2025-09-25 00:00:00-04:00,2026-03-18 07:58:47
XLC,116.39,0.0879827091466751,49500.0,425,0.33,115.84500122070312,2025-10-02 00:00:00-04:00,2026-03-18 07:58:47
XLU,88.91,0.0775970498600133,49500.0,556,0.33,84.22000122070312,2025-09-22 00:00:00-04:00,2026-03-18 07:58:47
XLK,284.72,0.126389941729733,49500.0,173,0.33,274.25,2025-09-25 00:00:00-04:00,2026-03-18 07:58:47
XLC,116.39,0.0879827105123054,49500.0,425,0.33,115.84500122070312,2025-10-02 00:00:00-04:00,2026-03-18 07:58:47
XLU,88.91,0.077597052243633,49500.0,556,0.33,84.22000122070312,2025-09-22 00:00:00-04:00,2026-03-18 07:58:47
XLK,284.72,0.1263899413575644,49500.0,173,0.33,274.25,2025-09-25 00:00:00-04:00,2026-03-18 07:58:47
XLC,116.39,0.0879827132435662,49500.0,425,0.33,115.84500122070312,2025-10-02 00:00:00-04:00,2026-03-18 07:58:47
XLU,88.91,0.0775970456886789,49500.0,556,0.33,84.22000122070312,2025-09-22 00:00:00-04:00,2026-03-18 07:58:47
XLK,288.4,0.137537251600482,49500.0,171,0.33,274.25,2025-09-25 00:00:00-04:00,2026-03-18 07:58:47
XLU,89.32,0.081831092400747,49500.0,554,0.33,84.22000122070312,2025-09-22 00:00:00-04:00,2026-03-18 07:58:47
XLC,115.58,0.0815911767290733,49500.0,428,0.33,115.3949966430664,2025-10-06 00:00:00-04:00,2026-03-18 07:58:47
XLK,287.6,0.1351381922925095,49500.0,172,0.33,274.25,2025-09-25 00:00:00-04:00,2026-03-18 07:58:47
XLC,116.51,0.0889220468331236,49500.0,424,0.33,115.3949966430664,2025-10-06 00:00:00-04:00,2026-03-18 07:58:47
XLU,89.77,0.0864336956148299,49500.0,551,0.33,84.22000122070312,2025-09-22 00:00:00-04:00,2026-03-18 07:58:47
XLK,285.68,0.1293256223236989,49500.0,173,0.33,274.25,2025-09-25 00:00:00-04:00,2026-03-18 07:58:47
