,symbol,momentum_score
0,XLE,0.19556486192096656
1,XLU,0.0761542923366102
2,XLB,0.059239101568258734
3,XLI,0.050946552911757786
4,XLP,0.04404361401582571
5,XLRE,0.03275706075500853
6,XLK,0.005790341345227618
7,XLV,0.004248875392485572
8,XLC,0.004207371473691287
9,XLY,-0.031748728094801004
10,XLF,-0.06450565544845444
